doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,clase_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Garcia,6109,1Q2018,1533839977934,5,5,5,5,5,5,5,5,5,VW5hIGdlbmlhIHRvdGFsLCByZXNwb25kZSBhIHRvZG9zIGxvcyBlbWFpbHMsIHkgc2llbXByZSBlc3RhIHByZXNlbnRlLiA=
Travesaro,6109,1Q2018,1533839977936,5,5,5,5,5,5,5,5,5,
Pastor,6109,1Q2018,1533839977937,5,5,5,5,4,5,5,5,5,
Piva,6203,1Q2018,1533840118491,5,5,5,4,5,5,5,5,5,
A Designar,6203,1Q2018,1533840118494,5,5,3,2,2,3,3,5,5,
Di Luozzo,6203,1Q2018,1533840118496,5,5,5,3,3,3,5,5,5,
Irigoyen,7645,1Q2017,1533840138397,5,5,2,2,2,2,2,2,2,
Eugenio Russmann,7645,1Q2017,1533840138401,5,5,5,5,5,5,5,5,5,
Tello,7645,1Q2017,1533840138405,5,5,5,5,5,5,5,5,5,
Garea,6201,1Q2018,1533840141558,5,4,5,5,5,5,5,5,5,
Veiras,6201,1Q2018,1533840141559,5,5,5,5,5,5,5,5,3,
Duplaa,6201,1Q2018,1533840141560,5,5,5,4,3,4,3,4,5,
Vazquez,6201,1Q2018,1533840141561,4,4,5,4,3,4,4,4,3,
Fernandez,6201,1Q2018,1533840141563,4,4,5,5,5,5,5,4,4,
Boggi,6103,2Q2016,1533840155128,4,3,3,2,2,4,3,1,2,
Unger,6103,2Q2016,1533840155143,5,5,5,4,5,5,4,3,2,
Santamartina,7003,2Q2015,1533840186494,3,4,5,1,1,1,5,2,4,TWUgZG9ybcOtIGRlc2RlIHF1ZSBtZSBhbm90ZSBlbiBlbCBzaXUg
Sande,7003,2Q2015,1533840186508,5,4,4,3,3,1,3,5,4,Q2hldG8=
Porcellana,7003,2Q2015,1533840186514,5,5,4,3,2,4,5,4,3,
